,size,phrase
es_gsd-ud-train_294.graphml,23,"El álbum alcanzó una pequeña popularidad, lanzando solo dos singles: ""Hurt You So Bad"" y ""Drowning""."
es_gsd-ud-train_9366.graphml,41,"Debido al gran número de géneros y especies que engloban las compuestas, el listado de los géneros y de las principales especies de la familia se ha editado en el siguiente anexo: Géneros y especies de Asteraceae."
es_gsd-ud-train_13861.graphml,34,Los edificios más característicos del campus son el edificio observatorio situado en Zellescher Weg (hoy conocido como Beyer - Bau) y el Hauptkollegiengebäude (denominado actualmente Zeuner - Bau).
es_gsd-ud-train_10292.graphml,13,"Cox era de origen filipino, quién llegó al país a invertir"
es_gsd-ud-train_11798.graphml,15,La densidad poblacional era de 31 personas por milla cuadrada (12/km²).
es_gsd-ud-train_6095.graphml,41,"Actualmente se conservan dos copias de privilegio en la Biblioteca de la Academia de Historia, otra copia se conservaba en el Archivo de Roa, perdida con total seguridad a causa de los numerosos incendios del siglo XIX."
es_gsd-ud-train_13919.graphml,28,"También el estar cerca de la costa y cerca de la montaña también es una ventaja a la hora de moverte, en fin muy recomendable."
es_gsd-ud-train_8714.graphml,20,"Fue fundado en 1909, refundado en 1993, y juega en la Lega Calcio Serie A de Italia."
es_gsd-ud-train_1832.graphml,33,"De los preamplificadores las señales se enrrutan a los procesadores, donde se realizaran las correcciones de gamma, detalle, masking, pedestal, flare, ganancias, clipeos y limitadores."
es_gsd-ud-train_13080.graphml,55,"No somos los únicos que cuando se lanzaron los Microsoft KIN pensaban que con estos terminales Microsoft lo que hacía era jugarsela creando más plataformas, perdiendo enfoque donde realmente lo necesitaba, en Windows Phone 7 y lanzando unos terminales que la verdad, no son nada del otro mundo."
es_gsd-ud-train_6874.graphml,40,"Hasta el momento, este disco sigue siendo uno de los más vendidos para la cadena de televisión, además de que fue el primer artista latino en lanzar un material de este tipo (CD / DVD)."
es_gsd-ud-train_5287.graphml,36,"Guitté (en bretón Gwitei) es una población y comuna francesa, situada en la región de Bretaña, departamento de Côtes - d'Armor, en el distrito de Dinan y cantón de Caulnes."
es_gsd-ud-train_2545.graphml,58,"Los manchúes fueron conocidos antiguamente como yurchen y fueron un pueblo nómada del noroeste de Asia que, desde muy antiguo, mantuvo un fuerte contacto con los chinos, llegando incluso a establecer dos dinastías históricas chinas: la dinastía Jin (1115 -- 1234) y la dinastía Qing, última dinastía imperial china."
es_gsd-ud-train_8090.graphml,15,Que no se me olvide comentar el trato tan estupendo con los niños pequeños.
es_gsd-ud-train_11164.graphml,11,"Se encuentra en Malasia, Sumatra, Java y Borneo."
es_gsd-ud-train_6669.graphml,62,"De los 1500 habitantes, el municipio de Lincoln estaba compuesto por el 97.6 % blancos, el 0.53 % eran afroamericanos, el 0.33 % eran amerindios, el 0.27 % eran asiáticos, el 0 % eran isleños del Pacífico, el 0.07 % eran de otras razas y el 1.2 % pertenecían a dos o más razas."
es_gsd-ud-train_4990.graphml,31,"La ayuda a los cantantes también puede ser dada por entrenadores vocales y arregladores de las canciones, como Michael Orland y Debra Byrd a los participantes detrás de escena."
es_gsd-ud-train_7363.graphml,16,"Según el censo de 2010, había 8621 personas residiendo en el municipio de Madison."
es_gsd-ud-train_468.graphml,22,"En el Censo de 2010 tenía una población de 212 habitantes y una densidad poblacional de 524,7 personas por km²."
es_gsd-ud-train_8909.graphml,40,"El morlaco le había avisado dos veces anteriormente con sendos extraños, aunque el diestro, fiel a su estilo, insistió en su faena hasta que a la tercera fue prendido en el muslo izquierdo de forma seca."
es_gsd-ud-train_5503.graphml,22,"Una refrescante escapada que le permitirá disfrutar del campo para hacer senderismo, rutas en quad o car - cross."
es_gsd-ud-train_4009.graphml,32,"Están especializados en la interpretación a capella de la música del Renacimiento, de compositores como Clément Janequin, Josquin Des Prés, Orlando di Lasso o Claude Le Jeune."
es_gsd-ud-train_13704.graphml,19,Se reincorporó el 14 de septiembre de 1839 y se le nombró comandante general de armas de Santiago.
es_gsd-ud-train_6711.graphml,17,En 1883 el convento funcionó como cuartel del Primer Cuerpo de Caballería del Estado.
es_gsd-ud-train_3137.graphml,14,La experiencias traumáticas recibidas le alejaron durante varios años de las actividades públicas.
es_gsd-ud-train_10516.graphml,24,Partieron de Cádiz en marzo de 1667 y llegaron al puerto de El Callao el 9 de noviembre de ese mismo año.
es_gsd-ud-train_510.graphml,18,"Los brotes son de color pardo anaranjado, con densa pubescencia alrededor de 1 mm de largo."
es_gsd-ud-train_1757.graphml,17,La comida es maravillosa (creo que desde que como allí estoy mas gordita jejeje).
es_gsd-ud-train_11985.graphml,60,"Entre los miembros del club durante su historia se cuentan Reuben Fine, Edmar Mednis, James Sherwin, Larry Evans, Andy Soltis, Anthony Santasiere, Paddy Naughtin, Fred Reinfeld, Arthur Dake, Albert Simonson, Herbert Seidman, Marcel Duchamp, Stanley Kubrick, Luke Hedin, Hikaru Nakamura, y Fabiano Caruana."
es_gsd-ud-train_8871.graphml,12,Tiene una población de 3.555.179 (est. julio de 2009).
es_gsd-ud-train_12376.graphml,9,Estos síndromes pueden manifestarse en forma concurrente.
es_gsd-ud-train_4171.graphml,18,"Antes del descanso, Carmona aprovechó un balón suelto en el área para batir a Rubén."
es_gsd-ud-train_5513.graphml,7,"Disco floral, bisexual y fértil;"
es_gsd-ud-train_8919.graphml,37,"Para colmo, cuando hice la reclamación, tardaron más de dos meses en responderme que no me devolverían el dinero (€ 136) porque ellos son sólo un ""motor de búsqueda""."
es_gsd-ud-train_13714.graphml,16,Existen varios síndromes identificados que se manifiestan durante una infección de la enfermedad de Marek.
es_gsd-ud-train_4019.graphml,32,"En verano del próximo año Finnair alcanzará su récord en vuelos semanales a Asia, volando a diez destinos asiáticos en lugar de los nueve actuales y aumentando sus frecuencias."
es_gsd-ud-train_6679.graphml,59,"De los 382 habitantes, Beaverdam estaba compuesto por el 96.86 % blancos, el 0.52 % eran afroamericanos, el 0.26 % eran amerindios, el 0.26 % eran asiáticos, el 0 % eran isleños del Pacífico, el 0 % eran de otras razas y el 2.09 % pertenecían a dos o más razas."
es_gsd-ud-train_2555.graphml,26,"Nos avisaron de que los platos son muy grandes y que era mejor compartir, así que hicimos caso y pedimos una pizza y pasta."
es_gsd-ud-train_8080.graphml,20,"Las camas supletorias, tanto la de una plaza como el sofá cama están bien para un estancia corta."
es_gsd-ud-train_11174.graphml,44,"""Millones de personas en América Latina usan Facebook a diario para conectarse y compartir con sus amigos y familias, los cual es una parte integral de la cultura en América Latina"", indicó Hohagen en un parte de prensa."
es_gsd-ud-train_4980.graphml,22,"Los etnocaceristas y yo vamos a apoyar a nuestro presidente y confiamos en (que nos dará) la amnistía""."
es_gsd-ud-train_7373.graphml,9,Fue liberado de la dominio otomano en 1686.
es_gsd-ud-train_478.graphml,27,"Se dice que cayó en la pobreza, y que habría muerto de hambre si no hubiera sido por la diligente ayuda de sus antiguos patrones."
es_gsd-ud-train_1747.graphml,22,Rob dejó oficialmente Malevolent Creation y pasó a formar parte de forma permanente de Cannibal Corpse con Kill (2006).
es_gsd-ud-train_11995.graphml,23,"El Bierzo perteneció al Convento Asturicense, con capital en Asturica Augusta, el cual formaba parte a la provincia Tarraconensis."
es_gsd-ud-train_12366.graphml,27,"Tocaron junto a la otra en el jardín derecho y central, y Crawford seguido de Cobb en el orden al bate año tras año."
es_gsd-ud-train_8861.graphml,28,"La final fue protagonizada por Looder y Lytos, cuyo vencedor fue este último por decisión del jurado (Eklips, Markooz y Bee Low)."
es_gsd-ud-train_4161.graphml,37,"Existen 2 variantes de la enfermedad, el tipo I es el más frecuente, aparece en personas jovenes sin otras enfermedades asociadas y suele tener tendencia a la curación espontanea en uno o dos años."
es_gsd-ud-train_6701.graphml,33,"El número de parados registrados en las oficinas de los servicios públicos de empleo (antiguo Inem) se redujo en 83.834 personas en junio, un 2,06 % respecto a mayo."
es_gsd-ud-train_500.graphml,29,En la siguiente tabla se recoge la evolución demográfica de Aldeacentenera entre 1996 y 2006 a partir de los datos ofrecidos por el Instituto Nacional de Estadística español.
es_gsd-ud-train_3127.graphml,17,"Oskar Reinhart nació en el seno de una familia acomodada de Winterthur, coleccionista de arte."
es_gsd-ud-train_10506.graphml,20,"En la puerta de la izquierda se grabó parte de la serie ""Villa Arriba y Villa Abajo""."
es_gsd-ud-train_11731.graphml,19,"Arroyo Corto es una localidad argentina del Partido de Saavedra, Provincia de Buenos Aires, Argentina."
es_gsd-ud-train_2310.graphml,18,"Principal exponente de la cultura soviética, sus obras han sido traducidas a más de 30 idiomas."
es_gsd-ud-train_14117.graphml,24,Tebacas fue un pueblo indígena que habitó en los municipios de Culiacán y Badiraguato hasta colindar con el grupo cahita de los sinaloas.
es_gsd-ud-train_7536.graphml,35,Estudió un tiempo como seminarista y más tarde intentó en la Marina: duró poco y se marchó con el mismo uniforme que luego utilizó para pedir limosnas en la Estación Retiro de ferrocarril.
es_gsd-ud-train_5356.graphml,20,"La actividad económica tradicional es la de la ganadería, especialmente la bovina, aunque existiendo marginalmente otros tipos."
es_gsd-ud-train_13151.graphml,87,"Destacan veinte lámparas de vidrio que iluminaron la sinagoga de Lorca, varios fragmentos de las yeserías que adornaban la pared del arón ha - qodesh este edificio, azulejos, monedas, cerámicas que representan la vida cotidiana en la baja Edad Media, diversos fragmentos de janukkiot, candiles empleados para conmemorar la fiesta judía de la Januká, así como interesantes manuscritos que recogen las actividades de los judíos que formaban parte de la sociedad fronteriza de Lorca en el siglo XV."
es_gsd-ud-train_11649.graphml,14,"Asimismo, el bajista ha editado un vídeo didáctico titulado Contemporary Electric Bass."
es_gsd-ud-train_2268.graphml,51,"El 7.0 por ciento de los alumnos indígenas cursan la educación inicial, el 8.0 la preescolar, el 64.4 la primaria, el 16.5 la secundaria, principalmente en la modalidad de telesecundaria, el 4.0 la media superior y menos del uno por ciento la educación superior;"
es_gsd-ud-train_6144.graphml,5,Un sitio muy cutre.
es_gsd-ud-train_345.graphml,25,"Harrison confiesa a Katie que él la ama, pero ella le dice que es un chico genial, pero no siente lo mismo."
es_gsd-ud-train_10343.graphml,71,"A pesar de todo esto, las primeras películas realmente importantes se produjeron a partir de los años 30, con la aparición de las ideas comunistas, con obras como Los gusanos de seda de primavera, de Cheng Bugao (Chūncán, 1933), La calle mayor (Dàlù, Sun Yu, 1935), o La diosa (Shénnǚ, Wu Yonggang, 1934)."
es_gsd-ud-train_3762.graphml,26,"La teuleria tiene un encanto tan especial, que convirtio en un simple fin de semana con mi pareja en un fin de semana inolvidable."
es_gsd-ud-train_12523.graphml,36,"Para afrontar sus gastos, Heyer vendió los derechos otorgados por la Commonwealth por Esas viejas sombras, Devil 's Cub, y Regency Buck a su compañía editorial, Heinemann, por £ 750."
es_gsd-ud-train_1102.graphml,23,"El Desierto del Monte es un desierto de América del Sur, que se encuentra en el país de Argentina."
es_gsd-ud-train_4724.graphml,27,"Él generalmente encuentra e ilustra varias características ornamentales e incluso múltiples embriones en fósiles de estos animales, aunque ningún investigador haya jamás confirmando sus hallazgos."
es_gsd-ud-train_13029.graphml,21,"En el año 2010 tenía una población de 1085 habitantes y una densidad poblacional de 11,67 personas por km²."
es_gsd-ud-train_5346.graphml,22,"Aunque la notación matricial fue introducida después, se ve fácilmente que la composición de giros es el producto de matrices."
es_gsd-ud-train_13141.graphml,40,"Después de la conquista española la acción evangelizadora se tradujo en gran parte de los asentamientos prehispánicos no sólo en la práctica misma de la religión, sino también en la construcción de notables edificaciones dedicadas al culto."
es_gsd-ud-train_11721.graphml,21,La propuesta evita la mayor parte de los problemas tecnológicos más severos de los conceptos de colonización interestelar más populares.
es_gsd-ud-train_2300.graphml,14,Durante el periodo de las obras se habilita una pasarela temporal de madera.
es_gsd-ud-train_14107.graphml,27,No pusieron pegas a llegar tarde el día de la entrada ni a salir un poco más allá de las 12 (hora de salida).
es_gsd-ud-train_7526.graphml,35,"Al día siguiente de la arribada a Bizerta se solicitó el asilo político por parte de los marineros, y quedaron internados los buques bajo la custodia de unos pocos tripulantes españoles por buque."
es_gsd-ud-train_12533.graphml,15,Moya Espejo es el primer militar español que fallece de un tiro en Afganistán.
es_gsd-ud-train_1112.graphml,33,"Pues yo he comprado un portátil a una tienda app que ha cerrado, se a estropeado y la central app dice no responde de la garantía al cerrar esa tienda."
es_gsd-ud-train_13039.graphml,20,Se escribió que había entrado en desacuerdo con su hijo Simon sobre lo apropiado que resultaba una adaptación cinematográfica.
es_gsd-ud-train_4734.graphml,16,Si el espesor es mayor el proyectil llegar igualmente a hasta la capacidad de penetración.
es_gsd-ud-train_6154.graphml,26,La reinauguración de circuito se produjo el 29 de julio de 2003 con la visita del Turismo Carretera y la victoria de Omar Martínez.
es_gsd-ud-train_11659.graphml,31,"Su retrato se encuentra en el pueblo granadino de Güéjar Sierra y es propiedad de sus descendientes: D ª Antonia Pérez Moreno, viuda de D. Rafael Rodriguez Cantos."
es_gsd-ud-train_2278.graphml,24,"Todos los sectores experimentaron disminuciones interanuales, salvo las actividades administrativas y servicios auxiliares, que presentaron un incremento del 1,3 %."
es_gsd-ud-train_10353.graphml,17,"Son ovíparos y el apareamiento suele ir acompañado de una danza ""nupcial"" relativamente compleja."
es_gsd-ud-train_3772.graphml,29,"Cuando el bancal está en mal estado tiende a formar una barriga antes de colapsar, hecho para el que los isleños utilizan el término ""parir""."
es_gsd-ud-train_355.graphml,105,"A la hora de poner en orden los deslavazados datos que nos han llegado del nacimiento y desenvolvimiento de la antigua Hermandad de la Vera - Cruz de Arahal, y convertir éstos en hitos entre los cuales en tiempo venideros, podamos intercalar los que nos ofrezca una posterior investigación, nos hemos encontrado con que, hasta ahora, y quizá debido al tiempo que hace que dicha cofradía no tiene vida, es la de esta ciudad a la que se le ha dedicado menos estudio, o si se le ha hecho, desgraciadamente no nos es conocido."
es_gsd-ud-train_13237.graphml,27,El municipio de Mahoning (en inglés: Mahoning Township) es un municipio ubicado en el condado de Carbon en el estado estadounidense de Pensilvania.
es_gsd-ud-train_9930.graphml,46,"El barril de crudo Brent subió hoy un 0,78 por ciento en el mercado de futuros de Londres, hasta los 91,19 dólares, en la primera jornada de negociación después de que la OPEP decidiera el fin de semana mantener sus volúmenes de producción."
es_gsd-ud-train_5030.graphml,50,"Durante estos primeros años tiene lugar a mayor velocidad de aprendizaje y se adquieren los elementos básicos y sus significados, y hasta la preadolescencia se consolida el uso, la inferencia pragmática y la capacidad para entender enunciados no - literales (irónicos, sarcásticos, etc.)."
es_gsd-ud-train_7650.graphml,17,Es un pez de mar y de clima templado y asociado a los arrecifes de coral -
es_gsd-ud-train_2076.graphml,24,"Los restos fueron apropiados por el Museo de Historia Natural de París, y se ilustran en el Atlas de Gay de 1844."
es_gsd-ud-train_11457.graphml,14,También se presentó por la provincia de Pontevedra pero se desconocen los resultados.
es_gsd-ud-train_4442.graphml,43,"Antes se aceptaba devolución y ahora los mismos fabricantes no la aceptan, así que se va vendiendo sobre la demanda que va surgiendo, lo que hace que no sea una venta tan importante, sobre todo los primeros días»."
es_gsd-ud-train_9848.graphml,30,Tiene una resolución de 320x200 píxeles y fue usado bastante en juegos de computadora y software de arte / animación a fines de 1980 y hasta mediados de 1990.
es_gsd-ud-train_1264.graphml,36,En este mismo año el Instituto Técnico de la Construcción y la Edificación (actualmente Instituto de Ciencias de la Construcción Eduardo Torroja) pasaría a integrarse en el Consejo Superior de Investigaciones Científicas.
es_gsd-ud-train_2897.graphml,19,"El lugar, propiedad del abogado Thomas Bernardini, fue el escenario de artistas de fama internacional."
es_gsd-ud-train_12645.graphml,26,"El Canímar está considerado entre los más importantes lugares arqueológicos de Matanzas, provincia poblada hace milenios por comunidades aborígenes en distintos niveles de desarrollo."
es_gsd-ud-train_5148.graphml,29,"Desde 1920 la casa se ha extendido y se ha renovado varias veces, pero la estructura básica de 1891 aun es claramente reconocible en la fachada sur."
es_gsd-ud-train_7728.graphml,13,"""Samsung World Cyber Games 2011 fue una verdadera fiesta para todos."
es_gsd-ud-train_3404.graphml,22,Se encuentra en bosques deciduos y semi - húmedo y bosque en el oeste de Ecuador y hasta el noroeste Perú.
es_gsd-ud-train_10025.graphml,19,Destruyó a Johnson peroBrown sobrevivió a las protestas y Halliburton continua en las mismas el dia de hoy.
es_gsd-ud-train_6222.graphml,8,También estaba en la tripulación de Yamamoto.
es_gsd-ud-train_7640.graphml,37,"Para poder superar la muerte de su padre, Stacy viaja a Europa, esperando que Peter la detenga y le diga que quiere casarse, pero debido a su remordimiento éste no lo hace."
es_gsd-ud-train_2066.graphml,24,"El sistema de pase es salir de la escuela los viernes, y la entrada es siempre los lunes salvo en casos excepcionales."
es_gsd-ud-train_11447.graphml,38,"Sin embargo, cuando fuimos a la tienda de la calle Atalaya del Polígono el Cerro de Segovia descubrimos que eran los mismos propietarios que Muebles Thermobel, una empresa que siempre nos ha atendido genial."
es_gsd-ud-train_9920.graphml,38,"Diversos investigadores - como el Dr. Edward Burnett Tylor, Herbert Spencer, Andrew Lang y otros - creían que el ""salvaje"" comenzó a creer en el animismo debido a la contemplación de ciertos fenómenos."
es_gsd-ud-train_13227.graphml,14,Me explicaron que cocinan su propia carne ya que crian sus propios terneros.
es_gsd-ud-train_5020.graphml,25,"La producción comenzó en la ARE (Atelier de Constructión Roanne) en 1952, con las primeras unidades entregadas al año siguiente."
es_gsd-ud-train_3414.graphml,12,La renta per cápita para la localidad era de $ 12.036.
es_gsd-ud-train_10035.graphml,25,"El single también se convirtió en su mayor éxito en Estados Unidos, alcanzando el número cuatro del Billboard Hot 100 en 1992."
es_gsd-ud-train_7738.graphml,36,"Estos contratos incluyeron la construcción de pistas de aterrizaje, dragado de canales para los buques, hospitales, cárceles, servicios de comunicaciones, y construcción de bases americanas desde Da Nang a Saigon."
es_gsd-ud-train_6232.graphml,25,Se me estropeo el disco duro de un dia para otro pero gracias a inforescate recupere los datos rapidamente y pude terminar mi trabajo.
es_gsd-ud-train_9858.graphml,19,Esta bestia de kilo y medio de peso saldrá a la venta en septiembre a un precio desconocido.
es_gsd-ud-train_4452.graphml,43,"El municipio de Tequixquiac está considerado como uno de más pobres de la región de Zumpango, esto se debe a que las actividades sobresalientes son del sector terciario (agricultura no tecnificada, comercio a menor escala y servicios)."
es_gsd-ud-train_5158.graphml,73,"Es famosa la frase que menciona los meses en los que debe comerse el marisco que son todos aquellos que contienen la letra erre, porque el fruto sale mejor desarrollado, con mejor textura, así como color y sabor, siendo muy típico el cocinarlos al vapor con especias de laurel y clavo, aderezados con ajo, perejil y limón, acompañándose con vino blanco."
es_gsd-ud-train_1274.graphml,28,"Canal Super 3 emite desde las 6 de la mañana hasta las 9:30 de la noche, compartiendo frecuencia con el canal 3XL, de temática juvenil."
es_gsd-ud-train_2887.graphml,36,"Valle de Hecho (Bal d'Echo en aragonés) es un municipio español de la provincia de Huesca perteneciente a la comarca de la Jacetania y al partido judicial de Jaca, Aragón."
es_gsd-ud-train_12655.graphml,27,El municipio de Hope (en inglés: Hope Township) es un municipio ubicado en el condado de Midland en el estado estadounidense de Míchigan.
es_gsd-ud-train_13462.graphml,5,Se encuentra en Asia.
es_gsd-ud-train_12168.graphml,33,"El pantalón corto es negro simple también del mismo fabricante, por lo que no hay duda de que estamos ante una de las camisolas más simples vistas por el momento."
es_gsd-ud-train_1549.graphml,24,"El Estadio Luis Álamos Luque, ubicado en la ciudad de Chañaral (Chile), cuenta con una capacidad de 3.000 espectadores."
es_gsd-ud-train_5665.graphml,20,La música de Yusuf está relacionada con el Islam y el hecho de ser musulmán en el mundo actual.
es_gsd-ud-train_7005.graphml,31,"Llevamos más de una semana esperando un envío que tendría que llegar desde la delegación de Fuengirola y no solo no llega, sino que ni siquiera atienden el teléfono."
es_gsd-ud-train_10708.graphml,20,"Días después se estrenó como titular ante, partido en el que según medios locales demostró un buen rendimiento."
es_gsd-ud-train_3329.graphml,16,Su fachada principal abarca una cuadra completa de la calle Amistad entre Reina y Estrella.
es_gsd-ud-train_11202.graphml,47,"Basado en Windows 7 y con un procesador Intel CULV Core 2 Duo y una pantalla táctil capacitiva, el nuevo dispositivo del fabricante cuenta con dos versiones: el modelo EP101 y el EP121, con una pantalla de diez y doce pulgadas respectivamente."
es_gsd-ud-train_2623.graphml,12,El trato fenomenal por parte de los dueños de la casa.
es_gsd-ud-train_4217.graphml,23,"Así se disputó el primer encuentro contra el Barcelona en el campo de O'Donnell, con victoria de los locales por 4-2."
es_gsd-ud-train_12010.graphml,45,"Así, mientras los cristianos cumplían el pacto, aprovecharon para explorar en busca de nuevos refugiados, llegando un destacamento bajo el mando de Pedro Maza a encontrar una cueva donde se había escondido una multitud de musulmanes que terminaron por rendirse."
es_gsd-ud-train_1431.graphml,13,El 4 de junio de 1959 obtuvo el nombre de Arquidiócesis de Delhi
es_gsd-ud-train_10670.graphml,9,El fruto es una cápsula trígona o trialada.
es_gsd-ud-train_9784.graphml,19,"El 20 de marzo de 1929, fue detenido otra vez en Calcuta por la conspiración de Meerut."
es_gsd-ud-train_3251.graphml,36,"Situado en las estribaciones del Prepirineo, el relieve del municipio es irregular, con altitudes que oscilan entre los 852 m (Fragal y Punta San Guillén) y los 530 m."
es_gsd-ud-train_676.graphml,23,"En la Cumbre de Portugal, a la que fueron pocos de paseo, su discurso provocó diplomáticas sonrisas de los presentes."
es_gsd-ud-train_6477.graphml,23,"Mariano Julio Izco (Buenos Aires, Argentina, 13 de marzo de 1983) es un futbolista argentino con pasaporte italiano."
es_gsd-ud-train_12989.graphml,9,Excelente bar para tomar unas raciones de pulpo.
es_gsd-ud-train_10718.graphml,24,Una breve Guerra civil irlandesa (de junio de 1922 a abril de 1923) estalló entre partidarios y detractores del tratado.
es_gsd-ud-train_3339.graphml,31,"Fue una avión de reacción tradicional, de limitado éxito, en el que se usaron las superficies de cola, alas y cúpula del P - 51 Mustang."
es_gsd-ud-train_7015.graphml,33,"El puerto fue equipado con muelles, almacenes y baterías para su defensa, y se mantuvo bajo su control hasta noviembre de 1816, cuando fue recuperado por el ejército realista."
es_gsd-ud-train_11212.graphml,25,"Recogen su alimento de la arena, el barro o el agua, comiendo gusanos y pequeños crustáceos vadeando por barrizales o zonas inundadas."
es_gsd-ud-train_2633.graphml,22,Korytne (ucraniano: Коритне) es una localidad del Raión de Balta en el Óblast de Odesa de Ucrania.
es_gsd-ud-train_13472.graphml,30,La actividad consistía en un concurso en el que las parejas participantes debían comunicarse mediante gestos y mímica para hacer entender de qué deporte o animal se trataba.
es_gsd-ud-train_5675.graphml,20,"Dado que Togolandia era la única colonia alemana autosuficiente, se convirtió en una de sus colonias más importantes."
es_gsd-ud-train_12178.graphml,12,La Guardia aprovecha los combates para entregarse al saqueo.
es_gsd-ud-train_1559.graphml,43,"La firma de este acuerdo provocó una ruptura interna en Andecha Astur, y uno de los sectores se presenta igualmente a las elecciones utilizando el nombre Andecha Astur, lo que provoca una disputa legal que aún no ha sido resuelta."
es_gsd-ud-train_666.graphml,45,"Creado por iniciativa de creado por Mariano García Morales y aprobado por Decreto de 15 de junio de 1942 como organismo autónomo, denominado Centro Experimental de Arqultectura, dependiente del Ministerio de la Gobernación de España, siendo ministro Valentín Galarza Morante."
es_gsd-ud-train_10660.graphml,15,"Se forma en vetas hidrotermales con otros sulfuros de cobre, hierro y níquel."
es_gsd-ud-train_9794.graphml,20,"Mención especial tienen los éxitos de la selección, desde la Eurocopa de 1964 hasta la conseguida en 2008."
es_gsd-ud-train_3241.graphml,41,"El Jardín Botánico de Adelaida o en inglés: Adelaide Botanic Garden (ANBG), es un jardín botánico público de 125 acres (51 hectáreas), de administración estatal, que está localizado en Adelaida, Australia."
es_gsd-ud-train_12999.graphml,14,"""Parecía que no iba a entrar porque querían a una mujer mayor."
es_gsd-ud-train_6467.graphml,46,"Durante la década de 1930 el Montevideo Wanderers se consolida institucionalmente, teniendo que asimilar la difícil partida de sus mejores jugadores tanto a Peñarol y Nacional, como a equipos del exterior, tentados la más de las veces por buenas ofertas económicas."
es_gsd-ud-train_4207.graphml,33,La Vuvuzela o vuvuzelas tienen desde hoy cabida en el portal adquirido por Google y el que podremos activar si lo requerimos para añadir el sonido de insectos (mediante trompetas).
es_gsd-ud-train_12000.graphml,24,Otro vio a su corazón escapar a través de sus pies y le pidió a un médico que se lo pusiera de nuevo.
es_gsd-ud-train_1421.graphml,20,"El IBM 5151 era un monitor monocromático TTL de 12 "", despachado con el IBM Personal Computer original."
es_gsd-ud-train_5681.graphml,12,Con posterioridad intervendrá en La Bohème y Los pescadores de perlas.
es_gsd-ud-train_7978.graphml,24,"San Francisco Javier de Lezama antes de la llegada del conquistador español fue un pueblo de indios originalmente llamado ""Lizama""."
es_gsd-ud-train_13486.graphml,43,"En 2005, Gordon compitió de nuevo en la Carrera de Campeones, esta vez celebrada en París, Francia, donde se asoció con el famoso piloto de motocross y ganador de ese año de los X Games, Travis Pastrana."
es_gsd-ud-train_8312.graphml,40,"La Bizona, o Bizonia, fue el nombre dado al territorio alemán formado por la unión de las zonas estadounidense y británica durante la ocupación aliada de Alemania, tras la finalización de la II Guerra Mundial."
es_gsd-ud-train_12815.graphml,18,"Fue editado por el sello discográfico Cooking Vinyl en 2001, con la producción de Nick Vincent."
es_gsd-ud-train_9618.graphml,8,La carrera comenzó y terminó en Milán.
es_gsd-ud-train_7800.graphml,20,"Westfield Sarasota Square, anteriormente conocido como Sarasota Square Mall, es un centro comercial en Sarasota, Florida."
es_gsd-ud-train_6493.graphml,34,"""Radio Waves"" (en español, ""Ondas radiales"") es una canción del músico y compositor británico Roger Waters, ex miembro de la banda inglesa Pink Floyd."
es_gsd-ud-train_9760.graphml,2,Ninguna medalla
es_gsd-ud-train_10694.graphml,14,"Según el censo de 2010, había 0 personas residiendo en Santa Rosa."
es_gsd-ud-train_7199.graphml,4,Actuo con convicciones.
es_gsd-ud-train_692.graphml,12,"Debate Piloto: La Macarena, ¿Orgullo nacional u horterada?"
es_gsd-ud-train_12805.graphml,35,"La evaluación, por parte del Instituto Ciudadano del Buen Gobierno (ICBG), continúa para algunos organismos, de modo que se prevé atender a un cuarto bloque de beneficiarios."
es_gsd-ud-train_8302.graphml,67,"De elevada estatura, porte elegante, calvo y con ojos azules, emparentó con la nobleza catalana (Castellvell, Maldà, San Miguel de Castellar, Salillas, Segur etc.) al contraer matrimonio en junio de 1926 con la condesa de Montagut Alto, M ª Antonia de Vilallonga y de Cárcer hija de la marquesa de Castellvell, grande de España."
es_gsd-ud-train_9608.graphml,25,"Nació en marzo de 2008, sustituyendo a la marca CTI Móvil, que había sido adquirida por América Móvil en el año 2003."
es_gsd-ud-train_5691.graphml,13,"El caso ocurrió en la ciudad de Massa, región de Toscana."
es_gsd-ud-train_13496.graphml,20,"Para los que buscan Tallas Grandes y no encuentran su talla en otras tiendas, Petróleo tiene de todo!"
es_gsd-ud-train_7968.graphml,15,"Finalmente, cansados de ser sujetos a toda clase de experimentos, deciden escapar."
es_gsd-ud-train_6483.graphml,15,Las familias de los donantes de órganos tampoco reciben ninguna compensación por la donación.
es_gsd-ud-train_7189.graphml,56,"Entre las obras llevadas a cabo destacan la apertura de la Rambla del Carmel - una de las principales vías del barrio - y el ensanchamiento de la calle Llobregós - que comportó la expropiación de otras 500 familias y la desaparición del único cine del barrio, el Popular -."
es_gsd-ud-train_682.graphml,24,"El club, que se encontraba en una etapa de aceleradísimo crecimiento, necesitaba urgentemente una nueva sede que pudiese satisfacer sus necesidades."
es_gsd-ud-train_9770.graphml,22,"Cordyline indivisa es un árbol monocotiledóneo endémico de Nueva Zelanda, donde tiene el nombre común de Árbol col de montaña."
es_gsd-ud-train_10684.graphml,17,"Se ha empleado principalmente en los conflictos urbanos, dada su fácil elaboración y bajo costo."
es_gsd-ud-train_7810.graphml,10,El piloto de tal esfuerzo aventurero era Eduardo Bradley.
