ID,Clasificación,Oración
756,Compleja,"Así finaliza la invasión lanzada sin el aval de la ONU para encontrar armas de destrucción masiva que Sadam Husein tenía escondidas, según la administración estadounidense que entonces dirigía George W. Bush."
757,Simple,Labeo boga es una especie de peces de la familia de los Cyprinidae en el orden de los Cypriniformes.
758,Compleja,"El condado de Colleton (en inglés: Colleton County, South Carolina), fundado en 1798, es uno de los 46 condados del estado estadounidense de Carolina del Sur."
759,Compuesta-Compleja,"De regreso a España, en 1634 se estableció en Sevilla, donde se aplicó al ejercicio de la pintura y de las letras, pero más al de las armas, protagonizando algunos lances a los que le llevó su «impaciente condición, y osada temeridad»."
760,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Según la Oficina del Censo de los Estados Unidos, Angola tiene una superficie total de 16.55 km², de la cual 16.43 km² corresponden a tierra firme y (0.74 %) 0.12 km² es agua."
761,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Según la Oficina del Censo de los Estados Unidos, Russell tiene una superficie total de 92.06 km², de la cual 91.94 km² corresponden a tierra firme y (0.13 %) 0.12 km² es agua."
762,Compleja,"Dicha cantidad nos brindará la oportunidad de disfrutar de una tableta de 10 pulgadas con el esperado procesador de doble núcleo AMD Brazos (con gráficos AMD HD 6250), 32 BG SSD, 4 GB de memoria RAM DDR3, WiFi y Bluetooth, dos cámaras y puertos HDMI, USB 2.0 y ranura SD."
763,Indeterminada (múltiples verbos sin subordinación/coordinación clara),Juega como Mediocampista y su equipo actual es El Porvenir de la Primera C.
764,Indeterminada (múltiples verbos sin subordinación/coordinación clara),Estamos especializados en reptiles y disponemos de gran variedad de alimento vivo.
765,Compleja,"Estamos deseando de disfrutar de tu buen hacer en poco más de una semana, y si es en la cocina, mejor."
766,Simple,Vitautas sufrió una gran derrota en la Batalla del río Vorskla en 1399.
767,Compleja,"El mensaje de este crimen tiene múltiples funciones, por un lado es un aviso al gobierno para que suspenda los juicios a los genocidas, y por otro de amedrentamiento de los testigos en los juicios, y un intento de volver a sembrar el terror y la pasividad en la sociedad toda."
768,Compleja,"El día 3 de noviembre de 1997, Rosana Sastre obtuvo el mayor galardón al imponerse en la carrera de Patín (5.000 metros), Mundial de Patín Carrera, carrera disputada en la ciudad de Mar del Plata."
769,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"El éxito a veces viene acompañado de cierto grado de prepotencia que, al final, es la antesala del fracaso."
770,Compleja,"Haciendo hincapié, según sus propias palabras, en ""su falta de profesionalidad y amiguismos"", El Meswy ha expuesto a dicha revista por sus constantes difamaciones y calumnias contra él."
771,Compleja,"Nuevamente desde la prensa inglesa llegan informaciones de que el Barcelona pujará hasta el final por hacerse con los servicios del portugués, quien lleva sonando varios años para la Ciudad Condal y el interés no es nuevo."
772,Compleja,Los ministros miembros de las Fuerzas Nuevas iniciarion un boicot al Gobierno en septiembre de 2003 para regresar al mismo en enero de 2004.
773,Compleja,El municipio de Montague (en inglés: Montague Township) es un municipio ubicado en el condado de Muskegon en el estado estadounidense de Míchigan.
774,Simple,Actualmente produce películas de James Bond junto a su medio hermano de Michael G. Wilson.
775,Indeterminada (múltiples verbos sin subordinación/coordinación clara),La ciudad de Roswell es conocida en todo el mundo por el supuesto choque de una nave extraterrestre en el año 1947.
776,Compleja,En ese carácter confrontó con el Che Guevara cuando éste llegó con las columnas guerrilleras en octubre de 1958 con el fin de controlar la región.
777,Compleja,¿Que excusa tiene el kirchnerismo para lamer las botas de Timerman?
778,Compuesta-Compleja,"En 1866 apoyó los intentos golpistas del general Juan Prim y participó activamente en la sublevación del cuartel de San Gil y en la revuelta de los Pirineos de 1867, razón por la que tuvo que exiliarse."
779,Unimembre,El segundo centro comercial más grande del área metropolitana de la Ciudad de Nueva York.
780,Compleja,"La Diputación Provincial de Castellón es el órgano institucional propio de la Provincia de Castellón, que engloba a los 136 municipios que forman esta provincia."
781,Indeterminada (múltiples verbos sin subordinación/coordinación clara),Fue nombrado así en honor al ingeniero británico Francis Brockton.
782,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"La principal fuente para la comparación léxica y el trabajo de clasificación de las lenguas platoides sigue siendo el BCCW (Benue - Congo Comparative Wordlist, Williamson y Shimizu (1968) y Williamson (1973))."
783,Compleja,"Su empuje fue perdiendo fuerza con el paso de la sesión, en paralelo a los mensajes lanzados por el BCE y al repunte en el riesgo país de España."
784,Compuesta-Compleja,"En su primer léxico se encuentran abundantes sobreextensiones, es decir, extiende el significado o uso de una palabra para otros referentes (como por ejemplo, utiliza el sustantivo perro para cualquier animal de cuatro patas), así como subextensiones (se observa cuándo el niño aplica el concepto muñeca sólo a su muñeca o la alguna en particular)."
785,Compleja,Estos temas son un regalo y agradecimiento para los fans que ayudaron hacer este 25 aniversario de Timbiriche un gran éxito.
786,Compleja,"Son muchos los platos que contienen especias tales como la canela, pimentón, menta, azafrán, la pimienta negra, el comino etc."
787,Compleja,"Mientras tiene que evitar al autocrático vicepresidente de la tienda (Spader) (quien también trabaja en secreto para Illustra, la competencia) y al atolondrado guarda de seguridad (Bailey), el maniquí cobra vida."
788,Indeterminada (múltiples verbos sin subordinación/coordinación clara),Juega de defensa y su equipo actual es el Cúcuta Deportivo de la Categoría Primera A colombiana.
789,Simple,"Se formó en Los Ángeles con la formación original de Paul Gilbert (guitarras), John Alderete (bajo), Harry Gschoesser (batería) y Jeff Martin (voces)."
790,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Hasta ahora, la anticoncepción masculina sigue siendo el preservativo y la vasectomía, que es irreversible."
791,Simple,Teodote (h. 780 -- después de 797) fue la segunda emperatriz consorte de Constantino VI del Imperio bizantino.
792,Simple,"Murió el 30 de junio de 1520, durante la huida de las tropas españolas y de sus aliados tlaxcaltecas de México Tenochtitlan, en la llamada Noche Triste."
793,Compuesta-Compleja,"Este equipo multidisciplinar trabajará concretamente en el desarrollo de soluciones técnicas que incidirán en la transformación, colocación, mantenimiento y recuperación de materiales naturales, gracias a la generación de soluciones ad hoc a problemáticas específicas, y que dotarán a la empresa Tino Stone Group de nuevas herramientas de diferenciación."
794,Compleja,"Dorialos, sobrino de otro Dorialos que fue ancestro (por parte de madre) de Estrabón, fue sumo sacerdote de Comana nombrado por Mitrídates el Grande."
795,Compleja,"Asimismo, el gobierno cubano ha ratificado que no intentará recuperar sus derechos mediante la fuerza."
796,Simple,"Se le considera el ""hermano menor"" del Murciélago, aunque más pequeño (4,30 metros de largo y 1,90 de ancho)."
797,Compleja,"Según el censo de 2010, había 143 personas residiendo en Des Moines."
798,Compleja,"Así lo informó la directora estatal del Instituto Nacional para la Defensa de las Personas en el Acceso a los Bienes y Servicios (Indepabis), Soremil Carvajal, durante la realización de la primera jornada en la sede de la Fundación Social Bolívar, a la que fueron convocados 20 consejos comunales de la Parroquia Catedral de Ciudad Bolívar."
799,Compuesta,"Sin embargo, no todos comparten este punto de vista y ha grabado con renombrados artistas como Luciano Pavarotti y Ruggiero Ricci."
800,Compleja,Esto es denominado moldes de cuñas y son utilizados para realizar cálculos sobre la evolución del clima hace cientos de miles de años.
801,Compuesta-Compleja,"Se le otorga el nombre de obra de arte, al hecho del reconocimiento que se produce en la conciencia, ya que cada obra será realizada por un único individuo y por lo tanto, cada uno tiene su propia identificación que le subministrará este."
802,Simple,"La Voz de Cádiz es un periódico regional de Cádiz, España."
803,Simple,Famoso por su obra La fábula de las abejas.
804,Compleja,De ahí surgió la visión de enseñar acerca de cómo permanecer en Cristo para una vida espiritual más profunda.
805,Compleja,Uno de esos cargamentos viaja en un tren capitaneado por el estadounidense Doug Jones y el sargento David McLean.
806,Compuesta-Compleja,"Después de pasar un año allí, hizo lo que la mayoría de los jóvenes del Paris FC suelen hacer y se unió al París - Saint Germain."
807,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"El istmo de Provincetown (Provincetown Spit), es decir, la tierra al norte de High Head en North Truro, está formado por depósitos marinos de los últimos 5.000-8.000 años."
808,Compleja,"Es tal el desconocimiento que se tenía de la zona que ni tan siquiera aparecen en muchos atlas, apareciendo únicamente las Montañas Gauttier situadas en su extremo oeste."
809,Simple,El Estatuto Municipal de José Calvo Sotelo de 1924 derogó definitivamente las leyes sobre desamortización de los bienes de los pueblos y con ello la desamortización de Madoz.
810,Simple,El 13 de marzo la flotilla llegó a La Coruña.
811,Compleja,El rey Enrique VIII construyó el Castillo de Pórtland y el Castillo Sandsfoot para proteger el ancladero.
812,Simple,La investigación duró de marzo de 1925 a mayo de 1928.
813,Simple,"Acusa a los productores de alimentos de capitalistas, insensibles, explotadores y especuladores."
814,Compuesta-Compleja,"Por favor, sé que si Jorge está bien, debe estar trabajando con los tercerinos en labores de rescate, pero necesito saber que está bien y que su familia también lo está."
815,Simple,"Así, existe una buena relación entre la esencialidad de un elemento y su abundancia en la corteza terrestre o en el agua de mar."
816,Compleja,"Es común, y casi indispensable, hablar hoy en día de la importancia de las instalaciones de climatización, iluminación, distribución de energía, seguridad, protección contra incendios, redes de comunicación y transmisión de datos y de computación que van desde un servidor hasta equipos en red agrupados a veces en espacios predeterminados para centros de cómputos."
817,Compleja,"En esta temporada fue el único equipo que logró vencer a los 4 mejores equipos del torneo, River Plate (1-0), Quilmes (2-1), Instituto (3-1) y Rosario Central (1-0)."
818,Simple,El rescate empero demorará varios meses.
819,Compleja,"Es muy mandona, aunque le regala a Jonatán un anillo de diamantes."
820,Compleja,Una cosa que miro mucho y no es que sea tiquismiquis es que el material esté esterilizado y todo limpio y estos lo tienen todo muy bien.
821,Compuesta-Compleja,"El partido quedó pronto terminado con los tres tantos y ya en la primera parte el equipo se había adelantado con los goles de Messi (17), Xavi Hernández (24) y Cesc Fábregas (45), mientras que en la segunda el astro albiceleste sumó el cuarto y definitivo en el 82."
822,Compleja,Guayama es la cuna de numerosos artistas y músicos que han ejercido notable influencia en la cultura puertorriqueña.
823,Simple,"Las cuatro ciudades principales son Bastok, San d'Oria, Windurst y Jeuno."
824,Compuesta-Compleja,"Asumieron que la mayoría de las visitas eran de empleados más que de ejecutivos y esperaban que la compañía viera el demo como ellos lo veían, un tributo a Chrono Trigger, y no un reemplazo."
825,Compleja,Mi hijo esta tan contento que no quiere venirse a casa.
826,Compleja,"En estas historias se permitió introducir algunas nuevas de su propia cosecha, y fue tan popular su versión que hizo que se olvidara la de Raspe, que era la original."
827,Simple,"Su reinado fue una época de relativa prosperidad para esta clase, a pesar del estado casi constante de guerra."
828,Simple,Alegremente lleva su sobrenombre de Banchō en la escuela.
829,Compleja,"Tras la misma, las carabelas fueron destinadas al muelle de las carabelas en Palos de la Frontera, mientras que la Victoria, permaneció en tierra frente al Pabellón de la Navegación."
830,Compuesta,"Christian compra un billete para el siguiente vuelo hacia allá y encuentra a Aaron, de pie en la nieve fuera de la terminal."
831,Compuesta-Compleja,"El teniente mariscal Antonio de Villarroel, desde que fuera nombrado comandante en jefe del ejército de Cataluña, había tenido plena autonomía militar y había planteado una estrategia defensiva conservadora que buscaba ganar tiempo, basándose en el principio que solo una ayuda externa podía liberar la ciudad."
832,Unimembre,Además de una gran variedad de aplicaciones.
833,Compleja,"Como tal, Diva, que libremente se alimenta de los humanos, puede utilizar libremente todas sus capacidades, mientras que Saya, que evita la alimentación de sangre humana (se alimenta a base de transfusiones), por lo general sólo tiene una fuerza ligeramente superior a la fuerza a nivel humano."
834,Compleja,"Tienen la oferta del libro del mes, además, que tiende a ser fantástica."
835,Compleja,"Al realizar el cálculo, atribuye el consumo de combustible y las emisiones de C02 a cada uno de los pasajeros de forma individual."
836,Compleja,"Un juez decidió que Norman Yatooma, el abogado que representaba al hijo de 14 años de Greene, pudiese leer los mensajes de texto que mandaba Kilpatrick y otros miembros de su administración."
837,Simple,Bell Helicopter Corporation comenzó a producir el UH - 1 Iroquois.
838,Compleja,"Aconsejado por una amiga me recomendaron esta casa rural para celebrar algo especial, el cumpleaños de mi pareja."
839,Compleja,"El conseller ha indicado que la ""etapa negra"" en la contratación administrativa se podría decir que corresponde a la anterior etapa del gobierno socialista en la Comunitat, ya que el uso de procedimientos negociados sin publicidad era el doble que en la actualidad, ha señalado."
840,Compuesta-Compleja,"A partir de entonces, se fue al monte y empezó su vida como jefe de bandidos."
841,Compleja,"Muy cansado, el galardonado no estuvo en medida de comentar su premio, indicó el premio Nobel."
842,Compuesta,"Beauvais pidió el divorcio a Nilon el 10 de mayo de 2010, busca la custodia conjunta de sus hijos."
843,Simple,Del total de la población el 0 % eran hispanos o latinos de cualquier raza.
844,Compleja,"Los cubos de bloqueo, también conocidos como cubos de rueda libre, son un accesorio instalado en muchos vehículos de tracción en las cuatro ruedas que permite que las ruedas delanteras sean desconectadas de los palieres delanteros."
845,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Está delimitado por la Avenida Gabriel Roca, la Calle Andrea Doria y el Castillo de Bellver."
846,Indeterminada (múltiples verbos sin subordinación/coordinación clara),El sitio web fue cerrado tras el ataque después unas cuantas horas.
847,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"A pesar de que la programación dinámica es extensible a más de dos secuencias, es prohibitivamente lenta para un alto número de secuencias extremadamente largas."
848,Compuesta-Compleja,"Se contaba además con sala de biblioteca, secretaría y se habilitó un fogón que ofreció sus comodidades a numerosas familias que lo utilizaron en acontecimientos íntimos."
849,Simple,"Tenemos un local espetacular, con profesionales de primera categorís desde la recepción hasta el tratamiento."
850,Compleja,"«Hubo gente que hasta el año 1966 no pudo tener nada en papeles, porque automáticamente se lo iban a embargar», recuerda el director de «Nos quitaron todo»."
851,Compleja,"Ocho años después del reemplazo de su hermano, en 1978 ingresó oficialmente al conjunto en noviembre, mientras ya había ingresado al grupo Huamarí."
852,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Nacido Marie - Henri Beyle en una familia burguesa, su padre Chérubin Beyle era abogado en la Audiencia Provincial."
853,Compleja,"Designado obispo de Huamanga, una vez consagrado partió a ejercer el gobierno de su diócesis (1661)."
854,Compleja,En base a estos resultados creó el gráfico que lleva su nombre (Gráfico de Ramachandran).
855,Compleja,Se decía que el vino blanco de Surrentine necesitaba al menos 25 año.
856,Unimembre,"Hojas opuestas, ovales, caducas y de bordes dentados con 2-4 pares de nervios laterales muy marcados y de color verde brillante de 2-6 cm de longitud."
857,Compleja,Antonescu interviene ante un azorado Sima para detener los desmanes de los legionarios.
858,Unimembre,Rafael Orozco González.
859,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Observesé que el insigne trovador boliviano José Manuel Baca (""Cañoto"") cuya figura alta y esbelta, fue inmortalizada con su guitarra."
860,Compleja,En 1997 algunas tesis en especializaciones de malezas que estudiaron la respuesta de plantas jóvenes de eucalipto al herbicida clopyralid (Lontre) no podían predecir éstos impactos posteriores.
861,Compleja,"Segundo Premio: Dos entradas al Parque del Monasterio para la foto que más ""Me Gusta"" acumule en Facebook."
862,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Sarah se lo comunicó al Doctor, lo que desencadenó los eventos del último serial del Tercer Doctor, Planet of Spiders."
863,Simple,Estos noticieros incorporaban material militar de EE.UU.
864,Simple,Ejemplos pueden verse en esta lista de Google.
865,Compuesta-Compleja,"Goethe citó a veces a Rochester y William Hazlitt estimó el brillo diamantino de sus versos, y apercibió que «su desprecio por todo lo que los otros respetan tenía algo de sublime""."
866,Simple,Con la torre del Salvador se inició la construcción de nuevas fortificaciones en la parte oriental del Kremlin.
867,Simple,Las frutas son aquenios comprimidos con dos nervaduras laterales y el vilano ausente o compuesto de pocos cerdas.
868,Compleja,"Permaneció también en Kfifane, donde recibió instrucción de su confesor, San Nimatullah Al - Hardini."
869,Simple,"Kiti Mánver (María Isabel Mantecón Vernalte, Antequera, Málaga, 13 de mayo de 1953), es una actriz española."
870,Compleja,"El apagón afectó a los países vecinos como Nicaragua y El Salvador, ya que existen circuitos de conexión regionales, según lo manifestado por el titular de la ENEE."
871,Compleja,"En la primera temporada que se introduce a la media hermana de Peter, Beatrice, que poco a poco se convierte en un carácter integral de la serie."
872,Compuesta-Compleja,"Tras la usurpación de Marconi en la patente, Nikola Tesla llevó a los tribunales a Marconi ganando el litigio ante el Tribunal Supremo de los EEUU y quedando como el auténtico inventor de la radio."
873,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Mayte y María eran las grandes favoritas del Festival pero, desafortunadamente, obtuvieron el decimocuarto lugar."
874,Simple,-- Existe la Escuela Especial para niños con capacidades diferentes.
875,Simple,"Fort Howard estaba a la orilla izquierda del río Fox, con Green Bay justo en la orilla opuesta."
876,Compuesta,"El ALF 502 fue certificado en 1980, y utilizado en el BAe 146 y el Bombardier Challenger 600."
877,Compleja,"Generalmente, están formados por diversos paneles de plástico sellados que se unen a dos paneles circulares, uno en cada extremo del balón."
878,Simple,En 2009 ganó el Hot d'Or a la mejor estrella joven europea.
879,Compleja,"Desde principios de los años noventa, la Asociación Amigos de la Historia de Roa, junto con el Círculo Cultural Juan Martín ""El Empecinado"", presidido por un descendiente del famoso guerrillero, celebran un homenaje anual junto al monumento que se levantó en su honor."
880,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"De esta forma el equilibrio económico va a estar asegurado y los vicios de la economía, como la escasez y los residuos, serán eliminados."
881,Compleja,"Cuando sus padres, Amy (Leigh - Allyn Baker), una enfermera, y Bob (Eric Allan Kramer), un exterminador, vuelven al trabajo, piden a sus tres hijos mayores, PJ (Jason Dolley), Teddy (Bridgit Mendler) y Gabe (Bradley Steven Perry) que ayuden a cuidar a su hermana pequeña."
882,Compuesta-Compleja,Compramos una instalación de 100 kilovatios con ellos hace 3 años y hasta ahora no hemos tenido ningun problema.
883,Simple,Este guerrero se convirtió más tarde en un implacable enemigo de los reyes pastunes de Afganistán.
884,Compuesta-Compleja,"Porque las Administraciones pueden estimular, pero quienes más ayudan a que se instalen empresas, con su esfuerzo y con sus ganas de trabajar, son los trabajadores""."
885,Compleja,"La antropóloga Anamaría Ashwell se llevó las manos a la cabeza cuando escuchó al regidor del PAN, Pedro Gutiérrez Varela, decir que es la mayoría de los ciudadanos la que sí quiere el progreso de Puebla con la obra del Viaducto Zaragoza que, como lo han demostrado académicos e investigadores de esta ciudad, causará un daño a la zona monumental capitalina."
886,Compleja,"La personalidad, así como los ambientes que por su naturaleza laboral frecuenta buscan ser desagradables hasta el máximo exponente buscando la risa del espectador con su forma de actuar zafia, egoísta y grosera."
887,Compleja,"El 17 de mayo, los resultados preliminares de la Junta Central Electoral, basada en el 91 % de los recintos, demostró que Fernández fue reelegido con el 53 % de los votos, mientras que Vargas tenía el 40 % y Aristy el 4.96 %."
888,Simple,Algunas eran auténticas obras de arte.
889,Simple,"Por su lado, los indígenas tuvieron unas 300 bajas."
890,Compleja,Una de las vías de la línea de la LNER había sido electrificada en 1941 hasta Mill Hill East para poder servir a los barracones situados en ese punto.
891,Compuesta-Compleja,"Videodrome es una película de ciencia ficción canadiense de 1983 dirigida y escrita por David Cronenberg y protagonizada por James Woods, Sonja Smits y Deborah Harry."
892,Compleja,"Según los anales, el periódico Ideal publicó en 1927 un concurso para la realización de un nuevo coso taurino, debido a la destrucción en un incendio de la anterior."
893,Simple,De carácter es muy animada y directa.
894,Compleja,Ha sido internacional con la selección francesa de fútbol sub - 21 y debutó con la selección absoluta el 25 de marzo del 2005 en un amistoso ante la selección de Mali anotando 4 goles.
895,Compleja,"Se trataba de un jugador seguro en defensa, que se prodigaba poco en las subidas por las bandas."
896,Compleja,"Los últimos rastros de Boetti se remontan a 1780, año en el que desaparece."
897,Compuesta-Compleja,"A las brujas Dorotea, Helena y Piroska les arrancaron los dedos con tenazas al rojo vivo ""por haberlos empapado en sangre de cristianos"" y las quemaron vivas."
898,Compleja,"Estos enfrentamientos fueron satirizados por Charles Kingsley como ""La gran cuestión del hipocampo"", que concluyó con la derrota de Owen y sus seguidores."
899,Compleja,Usted será responsable de todas las actividades que ocurran bajo su nombre de usuario.
900,Simple,"Andrés Francisco Llobet fue un controversial médico argentino del fines del siglo XIX y comienzos del XX, especializado en neurocirugía."
901,Compleja,"De Baba Adam se dice que tuvo un contemporáneo del famoso Rani Bhawani de Natore, de quien se dice que, debido a sus magnánimas características, tuvo un depósito en el lugar que se lo dedicaron al santo fakir en honor a sus poderes sobrenaturales."
902,Simple,Homero confirma su historia.
903,Unimembre,"Miembro Adjunto de la Sociedad de Autores y Compositores Dramáticos de Francia (desde 1963) y Miembro Correspondiente de: la Academia de Artes y Ciencias de Puerto Rico, de la Academia Guatemalteca de la Lengua, de la ""Hispanic Society of America"" y de la Academia Interamericana de Puerto Rico."
904,Indeterminada (múltiples verbos sin subordinación/coordinación clara),Supuestamente limpian cada semana pero de ese dato tampoco nos informó.
905,Simple,"Vaughn, además, ha jugador también en Orlando Magic, Atlanta Hawks y New Jersey Nets."
906,Compuesta-Compleja,El sitio esta muy bien pero han cerrado muchas tiendas y ya no es lo que era.
907,Compuesta-Compleja,"En uno de los últimos discos de El Meswy (""Respeto""), concretamente en la canción número 7, ""El matador"", arremete contra Dobleache calificándole de ""refranero"", y asegurando lo evidente de que Jazz Two, grupo al que perteneció Dobleache, siempre estuvo a la sombra de El Club de los Poetas Violentos."
908,Compleja,"No podrá ""renovar la Superlicencia concedida a cualquiera de los pilotos asociados al señor Briatore""."
909,Simple,La ciudad antigua está en la curva de Mura bajo la embocadura de Vordernberger Bach.
910,Simple,"La densidad de población era de 0,43 hab. / km²."
911,Compleja,"Al darse cuenta de que se trataba de una estrategia anunciada por sus opositores para mantener al público al tomarlo en serio, Kennedy declaró con franqueza: ""No me estoy esforzando para ser vicepresidente, me estoy esforzando para presidente""."
912,Compuesta,"En el 2000 la renta per cápita promedia del hogar era de $ 27.031, y el ingreso promedio para una familia era de $ 32.692."
913,Compleja,"Se trata de pasta de arroz (riso) y azafrán ligado con parmesano o pecorino y huevo para ser posteriormente frita en aceite de oliva, o menos común: introducida al horno ""al forno"", suelen tener forma de bolas de diámetro de 8-10 cm, en su interior pueden llevar ragù, u otros ingredientes elaborados con salsa de tomate, mozzarella, guisantes, etc."
914,Compleja,Lo que hay que tener en cuenta es que hay determinadas reparaciones que tardan más (no es lo mismo formatear un ordenador que hacer un reballing de un portátil).
915,Compleja,"Traducido a cifras, ello significa que Ryanair ingresó 663 millones de euros en concepto de servicios complementarios en el año 2009, frente a los 608 millones obtenidos por easyJet."
916,Indeterminada (múltiples verbos sin subordinación/coordinación clara),Manfred Winkelhock estaba apoyado por Liqui Moly y el chileno Eliseo Salazar por Copec y Viceroy.
917,Simple,"El 9 de marzo de 1839, tuvo éxito con la firma de un tratado de paz con Francia."
918,Compleja,"Durante ese tiempo visitó Costa Rica, Nicaragua, México, El Salvador, Honduras y Panamá por motivos de trabajo y también para ver a algunos amigos exiliados."
919,Compleja,"Principalmente, fue rodada en el distrito de EUR, barrio residencial edificado durante el fascismo caracterizado por una arquitectura fría y funcional."
920,Simple,"Posteriormente, en susodichas elecciones regionales, León gana la gobernación de Yaracuy con el 57,83 % de los votos."
921,Unimembre,"Las transformaciones arquitectónicas de la Basílica de Santa Maria en Roma""."
922,Simple,"A lo largo de los años la imagen de Mao aparecía en todas partes, en todos los hogares, oficinas y comercios."
923,Compleja,"Los alumnos de ESO del Instituto Carlos Casares y los de Infantil y Primaria Bibei, ambos de Viana, participaron en los talleres y actividades organizadas para promocionar un consumo 'responsable' durante las Navidades."
924,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"El 19 de abril del año 303, Expedito fue sacrificado por orden del emperador en Melitene, junto con Cajo, Gálatos, Hermógenes, Aristónico y Rufo."
925,Indeterminada (múltiples verbos sin subordinación/coordinación clara),En el barrio de La Picota de esta localidad se encuentra un rollo declarado Bien de Interés Cultural de Cantabria.
926,Compleja,"Juan alcanzó el trono de Portugal (del que era el legítimo heredero) a través de un golpe de Estado que tuvo lugar el 1 de diciembre de 1640, contra el rey Felipe IV."
927,Simple,La música de esta obra se ha perdido.
928,Compuesta-Compleja,"Llevó a cabo una negociación sin precedentes con el Papado para crear su propio rito para Mantua, y dedicó recursos considerables al desarrollo de un repertorio musical para la iglesia, al comisionar los trabajos Giaches de Wert y Palestrina."
929,Compleja,"Durante su primer confinamiento en el Spadra Rubens hizo un espectacular escape, ella regresó voluntariamente antes de ser transferida al Patton."
930,Compleja,"Este último trabajo fue después decisivo en el desarrollo de la mecánica cuántica, donde un concepto fundamental llamado hamiltoniano lleva su nombre"
931,Compleja,"El título fue rehabilitado por el hijo de su hermano Juan Bautista Travesedo y García - Sancho, XXVIII duque de Nájera, XXII conde de Oñate, XIV marqués de Quintana del Marco, VIII marqués de Torreblanca, X conde de Campo Real, XXIII conde de Treviño, XVII conde de Castronuevo, que casó con María del Carmen Martínez de las Rivas y Richardson, por tanto su sobrino."
932,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"El inglés se emplea en las señales de tráfico y es el idioma habitual en los hoteles, el comercio, las finanzas, el gobierno y los documentos oficiales."
933,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"En el sitio fueron incautados 238 kilos de cocaína, 485 galones de cocaína en proceso, 5.200 galones de alcohol butílico, 140 galones de ácido clorhídrico, 850 kilos de cloruro de calcio y 1.000 rollos de cinta."
934,Compleja,"Según la Oficina del Censo de los Estados Unidos, Juan Martín tiene una superficie total de 8.35 km², de la cual 7.34 km² corresponden a tierra firme y (12.07 %) 1.01 km² es agua."
935,Compuesta-Compleja,"Mantendremos un acercamiento permanente con las empresas, verificando que traigan la mejor tecnología, la menos invasiva y dañina, y no la de hace 40 ó 50 años, que deja mucha contaminación y provoca muchas pérdidas al país, puntualizó el secretario Elvira Quesada."
936,Compleja,Una versión con una unidad de disco incorporada a la derecha de la pantalla del terminal se convirtió en el H89.
937,Simple,"Con 1.83 de estatura, su puesto natural en la cancha era el de escolta."
938,Compleja,"Io che l'onde raffreno, que abrió el Intermedio 5, fue cantado por Vittoria Archilei en el papel de Anfítrite;"
939,Compleja,El municipio de Camp se encuentra ubicado en las coordenadas.
940,Unimembre,"Fábulas morales de La Fontaine, 1787, 2 vols."
941,Simple,"Eeth Koth sirvió al Consejo Jedi durante los conflictos de Naboo y la Geonosis, al comienzo de las Guerras Clon."
942,Simple,"En el año 2010 tenía una población de 175 habitantes y una densidad poblacional de 1,9 personas por km²."
943,Simple,"Por cada beso, los visitantes donan 1 libra esterlina para la organización benéfica Prince 's Trust Charity."
944,Simple,"Los vikingos consumían cerveza con beleño negro, planta alucinógena de la familia de las solanáceas."
945,Compleja,"Mientras la gente va abandonando el tribunal, Ellen Orford, la maestra de escuela, intenta reconfortar a Grimes mientras él ruge contra lo que parece la fañta de inclinación de la comunidad de Borough de darle una auténtica segunda oportunidad."
946,Compleja,"Tras la muerte de Boromir, Legolas siguió con Gimli y con Aragorn en una desesperada persecución de la hueste de orcos que habían capturado a Merry y a Pippin."
947,Compleja,Si bien este término no ha sido aceptado oficialmente por la comunidad científica se utiliza frecuentemente como denominación de referencia.
948,Compleja,"""Discipline"" es el sexto sencillo de la banda en entrar en el top 10 de la lista Hot Modern Rock Tracks de Billboard."
949,Simple,"De hecho, provee de agua potable a un 80 % de la población de Bogotá."
950,Compleja,"Las entregas se realizan con tres horas de antelación, tanto en el domicilio de la empresa, en el de un particular o en un hotel donde el usuario este prescrito."
951,Simple,"Cronológicamente, esto no tendría ninguna lógica;"
952,Compleja,No recomiendo elegir esta tienda para comprar tus productos de Apple.
953,Compleja,"La portada fue obra de Bob Schulenberg, basada en un dibujo de un pavo real, obra de Dean Torrence."
954,Compleja,"Su primera novela, El Evangelio de Satanás (El Evangelio del Mal), la cual fue publicada en el 2007, se vendieron más de 200.000 copias y es actualmente objeto de una docena de traducciones en todo el mundo."
955,Compuesta-Compleja,San Ladislao al ver esto lo perseguiría y le indicaría a la joven que derribase del caballo al cumano halándolo por su cinturón.
